Date,Service description,Service ID,Cost ($),Savings programs ($),Other savings ($),Unrounded subtotal ($),Subtotal ($)
2025-12-19,Cloud Build,8B5D-EF7D-EB12,0.00,0.00,0.00,0.000065,0.00
2025-12-18,Cloud Run,152E-C115-5142,3.29,0.00,0.00,3.287939,3.29
2025-12-18,Secret Manager,EE82-7A5E-871C,0.71,0.00,0.00,0.711229,0.71
2025-12-18,Gemini API,AEFD-7695-64FA,0.19,0.00,0.00,0.190493,0.19
2025-12-18,Artifact Registry,149C-F9EC-3994,0.00,0.00,0.00,0.002844,0.00
2025-12-18,Cloud Storage,95FF-2EF5-5EA1,0.00,0.00,0.00,0.000253,0.00
2025-12-18,Cloud Build,8B5D-EF7D-EB12,0.00,0.00,0.00,0.000108,0.00
2025-12-17,Cloud Run,152E-C115-5142,2.63,0.00,-0.91,1.721666,1.72
2025-12-17,Secret Manager,EE82-7A5E-871C,0.56,0.00,0.00,0.564524,0.56
2025-12-17,Gemini API,AEFD-7695-64FA,0.19,0.00,0.00,0.188173,0.19
2025-12-17,Cloud Storage,95FF-2EF5-5EA1,0.00,0.00,0.00,0.000375,0.00
2025-12-17,Cloud Build,8B5D-EF7D-EB12,0.00,0.00,0.00,0.000166,0.00
2025-12-16,Gemini API,AEFD-7695-64FA,0.30,0.00,0.00,0.302287,0.30
2025-12-16,Cloud Run,152E-C115-5142,0.21,0.00,-0.20,0.005567,0.01
2025-12-16,Cloud Storage,95FF-2EF5-5EA1,0.00,0.00,0.00,0.001080,0.00
2025-12-16,Cloud Build,8B5D-EF7D-EB12,0.00,0.00,0.00,0.000482,0.00
2025-12-15,Gemini API,AEFD-7695-64FA,0.34,0.00,0.00,0.340667,0.34
2025-12-15,Cloud Run,152E-C115-5142,0.27,0.00,-0.18,0.089644,0.09
2025-12-15,Cloud Storage,95FF-2EF5-5EA1,0.00,0.00,0.00,0.000292,0.00
2025-12-15,Cloud Build,8B5D-EF7D-EB12,0.00,0.00,0.00,0.000144,0.00
2025-12-14,Cloud Run,152E-C115-5142,0.32,0.00,-0.22,0.107997,0.11
2025-12-14,Cloud Storage,95FF-2EF5-5EA1,0.00,0.00,0.00,0.000002,0.00
2025-12-13,Cloud Run,152E-C115-5142,0.32,0.00,-0.22,0.107992,0.11
2025-12-13,Cloud Storage,95FF-2EF5-5EA1,0.00,0.00,0.00,0.000002,0.00
2025-12-12,Cloud Run,152E-C115-5142,0.32,0.00,-0.22,0.107998,0.11
2025-12-12,Cloud Storage,95FF-2EF5-5EA1,0.00,0.00,0.00,0.000002,0.00
2025-12-11,Cloud Run,152E-C115-5142,0.32,0.00,-0.22,0.107996,0.11
2025-12-11,Cloud Storage,95FF-2EF5-5EA1,0.00,0.00,0.00,0.000002,0.00
2025-12-10,Cloud Run,152E-C115-5142,0.32,0.00,-0.22,0.107998,0.11
2025-12-10,Cloud Storage,95FF-2EF5-5EA1,0.00,0.00,0.00,0.000002,0.00
2025-12-09,Cloud Run,152E-C115-5142,0.32,0.00,-0.25,0.071984,0.07
2025-12-09,Cloud Storage,95FF-2EF5-5EA1,0.00,0.00,0.00,0.000002,0.00
2025-12-08,Cloud Storage,95FF-2EF5-5EA1,0.00,0.00,0.00,0.000002,0.00
2025-12-08,Cloud Run,152E-C115-5142,0.32,0.00,-0.32,0.000000,0.00
2025-12-07,Cloud Storage,95FF-2EF5-5EA1,0.00,0.00,0.00,0.000002,0.00
2025-12-07,Cloud Run,152E-C115-5142,0.32,0.00,-0.32,0.000000,0.00
2025-12-06,Cloud Storage,95FF-2EF5-5EA1,0.00,0.00,0.00,0.000002,0.00
